Location,State,Country,Size,Bedrooms,Bathrooms,Age_of_Building,Amenities,Distance_to_Nearest_School,distance_to_nearest_Shopping,distance_to_nearest_Rail_Bus_Metro,Floor_Number,View,Renovated,Balcony_Area,Garage_Capacity,Property_Type,Price_$
Middletown,New_York,US,3818,1,1,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,2,3,City,Yes,394,3,Villa,80304
Tupelo,Chicago,US,2450,2,2,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,5,5,2,Lake,No,360,2,Apartment,428103
Brentwood Estates,Chicago,US,1609,2,2,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,3,1,1,City,Yes,410,0,House,162101
Columbia Heights,Chicago,US,1709,5,1,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,1,3,3,Country,No,499,2,House,477616
Jackson,Chicago,US,1144,1,3,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,2,3,Sea,No,367,0,Villa,305372
Boston,New_York,US,2285,1,4,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,2,3,1,Lake,No,285,1,Apartment,375049
Gainesville,New_York,US,3673,5,2,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,3,4,3,Country,No,390,3,House,130940
Bourbonnais,Chicago,US,1492,4,5,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,5,3,1,Ocean,No,321,0,Apartment,136715
Brighton Beach,New_York,US,3415,2,2,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,2,3,3,Lake,No,309,3,House,52732
Peabody,New_York,US,1557,1,3,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,4,2,Ocean,Yes,210,2,House,435442
Greenville,Chicago,US,3032,2,3,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,2,4,1,City,Yes,412,0,House,467502
Middle River,New_York,US,3896,2,3,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,3,3,2,Sea,Yes,358,0,Apartment,301584
Laguna Niguel,Los_Angeles,US,1366,5,3,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,2,1,3,City,Yes,486,3,Apartment,114346
Watsonville,Los_Angeles,US,2847,1,5,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,4,1,2,Ocean,Yes,353,1,House,255185
Abilene,Chicago,US,3030,2,1,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,1,4,2,Sea,Yes,401,2,Apartment,310762
Dumont,New_York,US,3970,5,2,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,0,2,2,Ocean,Yes,323,0,Apartment,257484
Lutz,New_York,US,3413,2,5,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,3,1,3,Ocean,No,129,0,Apartment,405097
Brentwood Estates,Chicago,US,3295,2,5,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,4,2,1,Sea,No,154,1,House,118738
Kaukauna,Chicago,US,3331,4,1,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,0,3,1,Country,No,207,3,Apartment,127942
Riverbank,Los_Angeles,US,3038,1,1,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,2,3,2,Lake,Yes,177,0,House,64198
Bridgeport,New_York,US,1355,1,2,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,4,4,2,Country,Yes,249,1,Apartment,185743
Lutz,New_York,US,1511,2,5,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,0,3,Sea,Yes,271,1,House,473999
Estelle,Chicago,US,2016,1,3,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,1,4,1,Ocean,No,223,3,Villa,81551
Scarsdale,New_York,US,3250,3,3,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,4,3,3,Ocean,No,148,1,Villa,160442
Bon Air,New_York,US,1557,2,2,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,3,3,3,Sea,No,209,1,Villa,473548
Harrisburg,New_York,US,3267,3,4,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,2,4,1,Country,Yes,310,2,Villa,387261
Boston,New_York,US,2664,2,2,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,2,1,Country,No,435,3,House,254338
Brenham,Chicago,US,3265,3,3,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,4,1,3,Country,Yes,233,1,Villa,203414
Coralville,Chicago,US,3729,3,4,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,2,2,3,Ocean,Yes,141,1,Villa,275290
Bourbonnais,Chicago,US,2913,4,2,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,3,3,1,Country,Yes,447,0,Villa,127911
Glendale,Los_Angeles,US,2685,2,3,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,3,1,3,Country,Yes,451,2,Apartment,440318
San Juan,Chicago,US,1634,4,3,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,3,1,1,Lake,No,229,2,Villa,356518
Saratoga Springs,Denver,US,3397,1,2,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,2,5,3,Ocean,No,483,3,Apartment,125659
Jersey City,New_York,US,3721,5,5,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,4,5,1,Country,No,266,3,Villa,56004
Taunton,New_York,US,3666,1,5,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,1,2,3,Lake,No,499,1,Apartment,144963
Sunnyside,Los_Angeles,US,3693,3,2,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,2,2,Sea,No,465,3,Apartment,200298
Iron River,Menominee,US,2916,3,1,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,4,2,1,Lake,No,196,0,House,312234
Grand Forks,Chicago,US,3223,1,5,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,4,2,1,Sea,No,372,3,Apartment,187456
Independence,Chicago,US,2879,3,3,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,0,1,Ocean,No,498,1,Apartment,274778
Hutto,Chicago,US,2342,2,3,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,4,0,3,Lake,No,473,3,Villa,136410
Rosemount,Chicago,US,3128,4,2,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,1,4,1,Ocean,Yes,263,0,Apartment,94851
Sicklerville,New_York,US,1197,5,2,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,1,0,3,Ocean,No,172,2,Apartment,341774
Belle Glade,New_York,US,2977,1,5,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,0,2,2,Ocean,No,480,1,House,76319
Bothell,Los_Angeles,US,3745,1,5,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,1,3,Lake,No,177,3,Villa,89689
Beaumont,Los_Angeles,US,2116,3,2,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,2,2,2,Sea,No,417,3,Apartment,126003
Malden,New_York,US,3594,1,2,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,4,3,Country,Yes,129,0,Villa,249889
New Canaan,New_York,US,1181,3,3,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,1,2,Ocean,No,291,2,Villa,268623
Belle Glade,New_York,US,1496,1,1,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,2,2,Lake,No,432,2,Villa,400306
Venice,New_York,US,2654,2,4,9,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,2,4,1,Lake,No,302,3,Villa,376626
Glendale,Los_Angeles,US,2815,1,5,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,5,3,2,Lake,Yes,183,1,Villa,271174
Visitacion Valley,Los_Angeles,US,3835,5,2,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,5,1,2,Country,No,313,2,Villa,452429
Acworth,New_York,US,1291,1,3,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,2,5,1,Country,Yes,342,0,House,493059
Middle River,New_York,US,2169,4,5,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,1,1,City,No,247,2,House,60213
Fort Washington,New_York,US,1969,2,1,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,5,5,1,City,No,446,2,Villa,378982
East Haven,New_York,US,3410,3,5,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,0,1,3,Ocean,No,437,0,House,106526
Fort Washington,New_York,US,3835,2,4,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,4,4,2,Sea,Yes,190,1,Apartment,116026
Pleasant Prairie,Chicago,US,1953,4,5,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,4,1,Sea,No,280,3,House,191888
North Lauderdale,New_York,US,2496,2,3,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,3,5,1,Sea,Yes,253,0,Villa,277312
Shreveport,Chicago,US,2988,4,2,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,4,5,2,Sea,Yes,239,3,House,273576
South Lawndale,Chicago,US,3519,2,1,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,0,4,3,Country,Yes,274,0,Apartment,428895
San Juan,Chicago,US,3943,1,2,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,5,4,2,Lake,Yes,210,2,Apartment,408847
Yonkers,New_York,US,3739,2,3,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,2,3,2,Lake,Yes,308,3,Villa,390882
Evergreen Park,Chicago,US,1680,1,1,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,1,3,1,Sea,Yes,317,2,Villa,74644
Rutland,New_York,US,3894,2,3,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,5,3,2,Lake,Yes,500,1,Villa,277319
Beaumont,Los_Angeles,US,3463,3,4,17,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,5,4,3,Ocean,Yes,175,1,Villa,214213
Malden,New_York,US,2966,5,4,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,2,2,3,Lake,No,391,0,House,249863
Port Huron,Detroit,US,2123,5,5,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,4,5,1,Sea,No,484,1,Villa,198960
Cypress Hills,New_York,US,2725,5,2,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,1,1,Country,No,465,3,House,466344
Independence,Chicago,US,1895,5,3,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,4,4,3,Ocean,No,383,1,Apartment,466063
Bryn Mawr-Skyway,Los_Angeles,US,3682,5,2,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,3,2,Ocean,No,166,1,Villa,122413
Toledo,New_York,US,3777,4,5,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,0,2,City,Yes,403,1,Apartment,293228
Troutdale,Los_Angeles,US,3939,4,5,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,2,0,3,Country,Yes,491,3,House,236683
Sun City Center,New_York,US,3674,1,2,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,5,3,3,Sea,No,309,1,Villa,177267
Redding,Los_Angeles,US,3041,3,1,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,1,2,Ocean,No,286,2,Villa,250690
Newburgh,New_York,US,1793,1,5,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,2,2,3,Lake,Yes,214,0,Apartment,144220
Stockbridge,New_York,US,2706,3,2,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,1,1,Sea,No,123,3,Villa,266506
Davis,Los_Angeles,US,2873,1,3,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,1,3,Ocean,No,320,3,Villa,370057
Palm Valley,New_York,US,1243,3,2,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,1,3,2,Sea,Yes,245,2,Villa,179621
Dumont,New_York,US,2132,3,3,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,2,4,1,City,No,131,1,House,182355
Encinitas,Los_Angeles,US,1918,5,1,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,5,1,3,Lake,No,264,1,Villa,322785
Porterville,Los_Angeles,US,3457,2,2,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,2,2,1,Lake,No,182,1,Villa,491214
Bon Air,New_York,US,1088,3,1,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,1,1,3,City,No,295,2,Apartment,186667
Collinwood,New_York,US,1938,2,1,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,5,3,3,City,Yes,350,0,Villa,424223
Granger,Indiana,US,1924,2,5,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,5,3,1,Sea,No,150,1,Villa,269184
Fitchburg,New_York,US,1879,2,3,24,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,3,1,1,Ocean,Yes,402,1,Villa,428401
Ada,Chicago,US,2301,5,1,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,3,0,2,Sea,Yes,280,2,Apartment,331701
Westchester,Chicago,US,2437,4,2,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,4,5,3,Lake,Yes,120,0,House,467837
Kearns,Denver,US,2963,5,1,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,3,3,Country,Yes,109,1,Apartment,344990
Far Rockaway,New_York,US,1588,5,4,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,2,3,Sea,Yes,453,0,Apartment,368879
Port Huron,Detroit,US,1365,3,5,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,2,1,2,Ocean,No,418,3,House,373735
Thomasville,New_York,US,1730,4,5,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,5,3,Lake,Yes,318,1,Apartment,117488
Pahrump,Los_Angeles,US,1382,4,2,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,4,3,Lake,Yes,149,1,Villa,488756
Porterville,Los_Angeles,US,2473,4,1,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,0,3,3,City,Yes,145,1,Villa,160882
Yonkers,New_York,US,1474,3,5,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,5,5,2,City,Yes,252,0,Villa,366478
Greenville,Chicago,US,1270,2,3,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,1,3,City,Yes,136,2,Apartment,422200
Camarillo,Los_Angeles,US,2937,5,3,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,3,3,Lake,No,316,0,House,425259
Lutz,New_York,US,1543,4,2,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",0,3,3,3,Ocean,No,172,2,House,473550
Fayetteville,New_York,US,2652,3,5,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,3,4,3,Sea,Yes,360,0,House,300753
Hutto,Chicago,US,2448,2,1,2,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,2,0,1,Country,No,385,0,House,334226
Rutland,New_York,US,2821,1,5,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,5,1,3,Country,No,175,3,Villa,180186
Gainesville,New_York,US,3706,2,5,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,0,1,1,City,No,186,0,House,143010
Bothell,Los_Angeles,US,2483,4,3,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,5,3,2,Country,Yes,491,3,Apartment,266660
West Chester,New_York,US,2189,3,4,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,3,3,1,Sea,Yes,267,2,Apartment,148897
West Des Moines,Chicago,US,2168,1,4,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,4,4,3,Lake,Yes,222,1,Villa,77789
Gainesville,New_York,US,3830,1,3,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,5,0,2,Country,No,195,1,Apartment,170018
Harrisburg,New_York,US,2930,3,2,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,2,2,Country,Yes,421,2,Apartment,145057
South Lawndale,Chicago,US,1930,5,2,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,0,0,3,Lake,No,448,1,House,408068
Nutley,New_York,US,2049,1,5,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,2,4,2,Sea,Yes,457,1,Apartment,410833
Hueytown,Chicago,US,2301,1,2,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,4,5,3,Lake,Yes,175,2,Apartment,312703
Crystal Lake,Chicago,US,1256,4,1,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",5,2,3,1,Country,Yes,447,1,Apartment,134605
Watsonville,Los_Angeles,US,1231,5,4,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,3,3,3,Ocean,Yes,378,2,Villa,93562
Tyler,Chicago,US,1472,3,3,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,3,1,3,Ocean,Yes,112,3,Apartment,473056
Westchester,Chicago,US,3914,3,5,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,3,3,City,No,260,0,House,471883
North Lauderdale,New_York,US,1102,1,2,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,4,5,3,Lake,Yes,334,3,House,265215
Punta Gorda Isles,New_York,US,3419,4,3,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,0,1,1,City,Yes,429,0,Villa,238863
Copperas Cove,Chicago,US,2058,1,3,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,2,3,1,City,Yes,287,0,Apartment,248158
South Lawndale,Chicago,US,1572,4,4,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,4,1,2,Country,No,438,3,House,310550
Palm Desert,Los_Angeles,US,3403,2,3,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,0,1,3,Sea,No,258,1,Villa,468528
Lino Lakes,Chicago,US,2108,3,3,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",2,1,5,3,Country,No,224,0,Apartment,426904
Glendale,Los_Angeles,US,2404,2,5,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,2,0,3,Ocean,Yes,285,1,Villa,290227
Santa Maria,Los_Angeles,US,2180,2,3,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",3,4,2,1,Country,No,446,3,Villa,414574
Coralville,Chicago,US,2004,3,3,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,1,3,2,City,No,141,1,Apartment,189992
Lutz,New_York,US,3549,1,4,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,3,4,1,Ocean,Yes,125,1,Apartment,242738
Shreveport,Chicago,US,1041,3,3,28,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,5,0,3,City,No,158,2,Apartment,445544
Palm Valley,New_York,US,3714,3,1,25,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,3,5,3,Sea,Yes,230,3,House,307638
Pleasant Prairie,Chicago,US,3226,1,3,16,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,3,3,Sea,No,430,1,House,309683
Greenpoint,New_York,US,2677,2,4,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,3,5,2,Lake,No,475,1,Apartment,283177
Nampa,Boise,US,2916,4,5,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,4,1,3,Lake,Yes,203,2,Villa,337646
Watsonville,Los_Angeles,US,1508,5,1,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,1,0,3,Country,No,418,2,House,389055
Dublin,New_York,US,1767,1,3,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,4,5,2,Lake,No,176,1,Villa,170546
Palm Desert,Los_Angeles,US,3370,5,5,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,4,3,2,City,No,269,3,House,297736
Norwalk,New_York,US,1643,4,1,3,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,3,2,City,Yes,229,3,House,158865
Evergreen Park,Chicago,US,2853,5,1,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,2,1,City,No,323,0,Villa,81876
Lexington,New_York,US,1749,4,5,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,3,4,1,Sea,Yes,311,2,Villa,330869
Lutz,New_York,US,3356,4,2,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,1,1,1,Sea,Yes,101,1,Villa,373644
Evergreen Park,Chicago,US,1405,2,1,4,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,3,3,2,Lake,Yes,176,3,Apartment,439245
Kensington,New_York,US,2091,2,1,13,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,3,1,2,Country,No,445,2,Villa,440804
Brunswick,New_York,US,2994,5,3,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,5,4,1,City,No,479,3,Apartment,176371
Fresno,Chicago,US,3232,5,1,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,2,2,1,Sea,Yes,376,0,Apartment,150929
Middle River,New_York,US,2026,1,3,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,0,2,3,City,No,143,0,Apartment,224251
Pottstown,New_York,US,3927,3,2,6,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,0,3,2,City,Yes,406,3,Villa,450168
Rutland,New_York,US,3316,2,1,20,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,3,2,2,Lake,Yes,217,3,Apartment,168712
Sun City Center,New_York,US,1816,5,1,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,1,4,3,Lake,No,238,0,Villa,240665
Rutland,New_York,US,2859,4,1,29,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,4,2,1,City,No,311,1,Apartment,429788
American Canyon,Los_Angeles,US,1380,5,4,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,3,3,2,Country,Yes,116,1,Villa,443057
New Canaan,New_York,US,1208,3,1,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,1,3,1,Sea,No,176,1,Apartment,238022
Kearns,Denver,US,3279,4,1,22,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,2,1,City,Yes,486,2,House,105148
Martinsburg,New_York,US,3303,1,4,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,4,2,1,Lake,No,304,3,Apartment,346446
North Tustin,Los_Angeles,US,2172,2,3,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",4,0,4,1,Lake,Yes,359,1,Apartment,365268
Dublin,New_York,US,1168,1,4,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,4,5,1,Sea,Yes,143,0,Villa,270386
Carlsbad,Denver,US,3094,5,3,11,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,4,3,1,Sea,No,175,0,Apartment,363974
Kendall,New_York,US,1925,4,3,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",2,4,1,2,Sea,No,181,0,House,280992
Searcy,Chicago,US,1358,2,4,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,1,1,3,Sea,No,370,0,Apartment,71152
South Whittier,Los_Angeles,US,1940,5,4,23,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",2,2,2,1,Country,Yes,462,1,House,59034
Troutdale,Los_Angeles,US,2631,4,4,18,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,2,4,1,Ocean,No,476,0,House,236201
Gilbert,Phoenix,US,1001,5,1,1,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,5,1,2,Sea,No,389,0,House,274495
Palm Desert,Los_Angeles,US,1230,5,4,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,3,0,3,Lake,No,265,2,Villa,153554
Tupelo,Chicago,US,3196,5,4,12,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",1,1,4,2,City,No,428,3,House,442113
Bridgeport,New_York,US,1761,5,3,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,5,4,3,City,No,219,1,House,277654
